"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 13 16:20:59 UTC 2025","Sat Sep 13 16:21:56 UTC 2025","56770","","Pesquisar por produtos","","","","Deve acessar um produto",""
"passed","Sat Sep 13 16:13:56 UTC 2025","Sat Sep 13 16:14:44 UTC 2025","47967","","Fluxo de checkout","","","","Deve fazer login com sucesso",""
"passed","Sat Sep 13 16:17:34 UTC 2025","Sat Sep 13 16:18:53 UTC 2025","79259","","Deve fazer login","","","","Deve fazer login com sucesso",""
"passed","Sat Sep 13 16:14:44 UTC 2025","Sat Sep 13 16:15:49 UTC 2025","65531","","Fluxo de checkout","","","","Deve acessar um produto e completar o fluxo de checkout",""
